id	name	xqid	latitude	longitude	country_id
177	Bedourie	BEU	-24.34609985	139.4600067	13
178	Benalla	BLN	-36.55189896	146.0070038	13
179	Bendigo	BXG	-36.73939896	144.3300018	13
180	Betoota	BTX	-25.64170074	140.7830048	13
181	Beverley Springs	BVZ	-16.73329926	125.4329987	13
182	Big Bell	BBE	-27.32859993	117.6729965	13
183	Billiluna	BIW	-19.56669998	127.6669998	13
184	Birdsville	BVI	-25.89749908	139.3480072	13
185	Bizant	BZP	-14.74027778	144.1194444	13
186	Blackall	BKQ	-24.42779922	145.4290009	13
187	Blackwater	BLT	-23.60309982	148.8070068	13
188	Bloomfield	BFC	-15.873693	145.32973	13
189	Boigu Island	GIC	-9.232780457	142.2180023	13
190	Bollon	BLS	-28.05830002	147.4830017	13
191	Bolwarra	BCK	-17.387002	144.169448	13
192	Borroloola	BOX	-16.07530022	136.302002	13
193	Boulia	BQL	-22.91329956	139.8999939	13
194	Bourke	BRK	-30.03919983	145.9519958	13
195	Bowen	ZBO	-20.0182991	148.2149963	13
196	Brampton Island	BMP	-20.80330086	149.2700043	13
197	Brewarrina	BWQ	-29.97389984	146.8170013	13
198	Brisbane	BNE	-27.38419914	153.1170044	13
199	Broken Hill	BHQ	-32.00139999	141.4720001	13
200	Broome	BME	-17.94470024	122.2320023	13
201	Brunette Downs	BTD	-18.63999939	135.9380035	13
202	Bulimba	BIP	-16.88080025	143.4790039	13
203	Bunbury	BUY	-33.37829971	115.677002	13
204	Bundaberg	BDB	-24.90390015	152.3190002	13
205	Burketown	BUC	-17.74860001	139.5339966	13
206	Burnie	BWT	-40.99890137	145.7310028	13
207	Busselton	BQB	-33.68842316	115.4015961	13
208	Caiguna	CGV	-32.26499939	125.4929962	13
209	Cairns	CNS	-16.88579941	145.7550049	13
210	Caloundra	CUD	-26.79999924	153.1000061	13
211	Camden	CDU	-34.04029846	150.6869965	13
212	Camfield	CFI	-17.02169991	131.3269958	13
213	Camooweal	CML	-19.9116993	138.125	13
214	Canberra	CBR	-35.30690002	149.1950073	13
215	Canobie	CBY	-19.47940063	140.927002	13
216	Cape Barren Island	CBI	-40.39170074	148.0169983	13
217	Cape Flattery	CQP	-14.970501	145.311411	13
218	Carlton Hill	CRY	-15.499857	128.530806	13
219	Carnarvon	CVQ	-24.88059998	113.6719971	13
220	Casino	CSI	-28.88279915	153.0670013	13
221	Cattle Creek	CTR	-17.608021	131.550629	13
222	Ceduna	CED	-32.13059998	133.7100067	13
223	Cessnock	CES	-32.78749847	151.3419952	13
224	Charleville	CTL	-26.41329956	146.2619934	13
225	Charters Towers	CXT	-20.04310036	146.272995	13
226	Chillagoe	LLG	-17.14279938	144.529007	13
227	Chinchilla	CCL	-26.77499962	150.6170044	13
228	Christmas Island	XCH	-10.45059967	105.6900024	13
229	Clermont	CMQ	-22.7730999	147.6210022	13
230	Cleve	CVC	-33.70970154	136.5050049	13
231	Cloncurry	CNJ	-20.66860008	140.5039978	13
232	Cluny	CZY	-24.51670074	139.6170044	13
233	Cobar	CAZ	-31.53829956	145.7940063	13
234	Cocos Islands	CCK	-12.18830013	96.83390045	13
235	Coen	CUQ	-13.76080036	143.1139984	13
236	Coffs Harbour	CFS	-30.32060051	153.1159973	13
237	Collarenebri	CRB	-29.52169991	148.5820007	13
238	Collinsville	KCE	-20.59670067	147.8600006	13
239	Condobolin	CBX	-33.06439972	147.2089996	13
240	Coober Pedy	CPD	-29.04000092	134.720993	13
241	Cooinda	CDA	-12.90330029	132.5319977	13
242	Cooktown	CTN	-15.44470024	145.1840057	13
243	Coolah	CLH	-31.77330017	149.6100006	13
244	Coolangatta	OOL	-28.1644001	153.5050049	13
245	Coolibah	COB	-15.550789	130.959854	13
246	Coonabarabran	COJ	-31.33250046	149.2669983	13
247	Coonamble	CNB	-30.98329926	148.3760071	13
248	Coorabie	CRJ	-31.901617	132.296978	13
249	Cootamundra	CMD	-34.62390137	148.0279999	13
250	Corowa	CWW	-35.99470139	146.3569946	13
251	Corryong	CYG	-36.18280029	147.8880005	13
252	Cowarie	CWR	-27.71170044	138.3280029	13
253	Cowell	CCW	-33.66669846	136.8919983	13
254	Cowra	CWT	-33.84469986	148.6490021	13
255	Croker Island	CKI	-11.16499996	132.4830017	13
256	Croydon	CDQ	-18.22500038	142.2579956	13
257	Cudal	CUG	-33.27830124	148.7630005	13
258	Cue	CUY	-27.44669914	117.9179993	13
259	Cunnamulla	CMA	-28.03000069	145.621994	13
260	Currie	KNS	-39.87749863	143.878006	13
261	Dajarra	DJR	-21.70829964	139.5330048	13
262	Dalby	DBY	-27.15530014	151.2669983	13
263	Daly River	DVR	-13.7498064	130.6938782	13
264	Daly Waters	DYW	-16.26469507	133.383379	13
265	Darwin	DRW	-12.41469955	130.8769989	13
266	Davenport Downs	DVP	-24.14999962	141.1080017	13
267	Delissaville	DLV	-12.55000019	130.6849976	13
268	Delta Downs	DDN	-16.99169922	141.3170013	13
269	Denham	DNM	-25.89389992	113.5770035	13
270	Deniliquin	DNQ	-35.52314	144.982386	13
271	Derby	DRB	-17.37000084	123.6610031	13
272	Devonport	DPO	-41.16970062	146.4299927	13
273	Diamantina Lakes	DYM	-23.758622	141.144655	13
274	Dirranbandi	DRN	-28.5916996	148.2169952	13
275	Dixie	DXD	-15.11749443	143.3160496	13
276	Docker River	DKV	-24.86000061	129.0700073	13
277	Dongara	DOX	-29.29999924	114.9329987	13
278	Doomadgee Mission	DMD	-17.94029999	138.8220062	13
